Nama_File,Kelas,GLCM_Mean,GLCM_Contrast,GLCM_Homogeneity,GLCM_ASM,GLCM_Energy
hole_ds (1).jpg,hole,1.4586167,20.382523,17.739296,130.34732,11.043054
hole_ds (10).jpg,hole,1.2558913,15.459747,19.826828,246.5393,14.804472
hole_ds (100).jpg,hole,0.0037372112,0.61798096,24.955029,622.8099,24.942492
hole_ds (101).jpg,hole,0.008183718,0.8934021,24.921642,620.5717,24.893394
hole_ds (102).jpg,hole,0.0072538853,0.6095886,24.950653,622.2125,24.932262
hole_ds (103).jpg,hole,0.0068485737,0.47607422,24.967834,623.20074,24.954233
hole_ds (104).jpg,hole,0.000166893,0.009155273,24.995422,624.526,24.988623
hole_ds (105).jpg,hole,0.007704973,0.8922119,24.914352,619.8606,24.877415
hole_ds (106).jpg,hole,0.006018877,0.51116943,24.949715,622.0419,24.92847
hole_ds (107).jpg,hole,0.0056505203,0.43182373,24.969154,623.3533,24.957577
hole_ds (108).jpg,hole,0.0058066845,0.4345703,24.954815,622.07837,24.930077
hole_ds (109).jpg,hole,0.00536561,0.33737183,24.971514,623.2734,24.956856
hole_ds (11).jpg,hole,1.5960677,59.03047,14.033974,80.06198,8.771269
hole_ds (110).jpg,hole,0.005322695,0.33187866,24.97426,623.53796,24.962528
hole_ds (111).jpg,hole,0.0052866936,0.5418091,24.95543,622.5488,24.937357
hole_ds (112).jpg,hole,0.0038862228,0.36239624,24.968792,623.2937,24.95692
hole_ds (113).jpg,hole,0.0037431717,0.3364563,24.973118,623.58716,24.963562
hole_ds (114).jpg,hole,0.02091837,4.603485,24.560783,599.5936,24.37948
hole_ds (115).jpg,hole,0.0065243244,1.3556671,24.872374,617.34955,24.820915
hole_ds (116).jpg,hole,0.0028729439,0.3211975,24.978313,623.86346,24.97062
hole_ds (117).jpg,hole,0.007299185,1.3798523,24.871334,617.48724,24.81811
hole_ds (118).jpg,hole,0.004197359,0.6324768,24.938435,621.38403,24.912971
hole_ds (119).jpg,hole,0.0032782555,0.40359497,24.967289,623.32666,24.957012
hole_ds (12).jpg,hole,1.4482434,82.03458,12.021739,65.816315,7.900922
hole_ds (120).jpg,hole,0.00480175,1.1151123,24.861866,616.0962,24.79352
hole_ds (121).jpg,hole,0.0020182133,0.4977417,24.948957,621.6665,24.922146
hole_ds (122).jpg,hole,0.0011086464,0.28076172,24.982067,624.08875,24.976562
hole_ds (123).jpg,hole,0.0,0.0,25.0,625.0,25.0
hole_ds (124).jpg,hole,0.0028669834,0.5050659,24.954475,622.2617,24.935541
hole_ds (125).jpg,hole,0.0022351742,0.37994385,24.966984,623.06055,24.953932
hole_ds (126).jpg,hole,0.0017166138,0.21438599,24.985508,624.199,24.979342
hole_ds (127).jpg,hole,0.019520998,2.8286285,24.751377,610.40686,24.643566
hole_ds (128).jpg,hole,0.0136528015,1.5048828,24.87845,617.8943,24.826775
hole_ds (129).jpg,hole,0.011861324,1.096344,24.92865,621.2345,24.903307
hole_ds (13).jpg,hole,0.8770652,31.144745,18.631046,252.68918,14.203779
hole_ds (130).jpg,hole,5.9604645e-05,0.0061035156,24.996948,624.71875,24.99368
hole_ds (131).jpg,hole,0.009678602,1.2588501,24.907219,619.80066,24.871616
hole_ds (132).jpg,hole,0.008380413,1.0009003,24.934553,621.5083,24.911758
hole_ds (133).jpg,hole,0.007987022,0.9025574,24.946402,622.2689,24.929075
hole_ds (134).jpg,hole,0.0070500374,1.3223267,24.907566,619.73474,24.86623
hole_ds (135).jpg,hole,0.010550022,2.0989227,24.853964,616.42725,24.783855
hole_ds (136).jpg,hole,0.0053954124,0.8023071,24.946518,622.08075,24.921934
hole_ds (137).jpg,hole,0.008134842,1.0809326,24.922422,620.829,24.895763
hole_ds (138).jpg,hole,0.0076818466,0.98861694,24.932215,621.5585,24.912642
hole_ds (139).jpg,hole,0.0075280666,0.95596313,24.939348,622.1018,24.924616
hole_ds (14).jpg,hole,2.0679693,22.91655,16.643593,134.89603,11.47595
hole_ds (140).jpg,hole,0.0,0.0,25.0,625.0,25.0
